strain	accession	clade	description
MN893425.1	MN893425.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNZK-4-2017 spike glycoprotein gene, complete cds
MT031819.1	MT031819.1	G2c	Porcine epidemic diarrhea virus strain CH/CC-1/2018 spike protein (S) gene, complete cds
MT031820.1	MT031820.1	G2c	Porcine epidemic diarrhea virus strain CH/CC-2/2018 spike protein (S) gene, complete cds
MT090137.1	MT090137.1	G2c	Porcine epidemic diarrhea virus strain HN/HX/2019 spike protein (S) gene, complete cds
MT090140.1	MT090140.1	G2c	Porcine epidemic diarrhea virus strain SX/YC/2019 spike protein (S) gene, complete cds
MT090146.1	MT090146.1	G2c	Porcine epidemic diarrhea virus strain CH/SXWS/2018, complete genome
MT166307.1	MT166307.1	G2c	Porcine epidemic diarrhea virus strain HB2018, complete genome
MT263014.1	MT263014.1	G2c	Porcine epidemic diarrhea virus isolate SC-YB73, partial genome
MT294128.1	MT294128.1	G2c	Porcine epidemic diarrhea virus isolate HBGJ-2018 spike glycoprotein (S) gene, complete cds
MT294129.1	MT294129.1	G2c	Porcine epidemic diarrhea virus isolate HLJYTX-2018 spike glycoprotein (S) gene, complete cds
MT294131.1	MT294131.1	G2c	Porcine epidemic diarrhea virus isolate JSCF-2018 spike glycoprotein (S) gene, complete cds
MT294132.1	MT294132.1	G2c	Porcine epidemic diarrhea virus isolate LNBX-2018 spike glycoprotein (S) gene, complete cds
MT294133.1	MT294133.1	G2c	Porcine epidemic diarrhea virus isolate LNHD-2018 spike glycoprotein (S) gene, complete cds
MT294134.1	MT294134.1	G2c	Porcine epidemic diarrhea virus isolate NMTL-2018 spike glycoprotein (S) gene, complete cds
MT294135.1	MT294135.1	G2c	Porcine epidemic diarrhea virus isolate TJLT-2018 spike glycoprotein (S) gene, complete cds
MT303066.1	MT303066.1	G2c	Porcine epidemic diarrhea virus strain shxx1902, complete genome
MT338518.1	MT338518.1	G2c	Porcine epidemic diarrhea virus strain HNAY2016, complete genome
MT625963.1	MT625963.1	G2c	Porcine epidemic diarrhea virus strain CH/JSXZ/2015, complete genome
MT683905.1	MT683905.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCLS-2/2019 spike protein gene, complete cds
MT683906.1	MT683906.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCLS-3/2019 spike protein gene, complete cds
MT683907.1	MT683907.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCYA-1/2019 spike protein gene, complete cds
MT683908.1	MT683908.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCYA-2/2019 spike protein gene, complete cds
MT787025.1	MT787025.1	G2c	Porcine epidemic diarrhea virus strain PEDV CH/SX/2016, complete genome
MT843278.1	MT843278.1	G2c	Porcine epidemic diarrhea virus, complete genome
MW143083.1	MW143083.1	G2c	Porcine epidemic diarrhea virus isolate JSS04, complete genome
MW143084.1	MW143084.1	G2c	Porcine epidemic diarrhea virus isolate JSS05, complete genome
MW143085.1	MW143085.1	G2c	Porcine epidemic diarrhea virus isolate JSS06, complete genome
MW143091.1	MW143091.1	G2c	Porcine epidemic diarrhea virus isolate JSS13, complete genome
MW143092.1	MW143092.1	G2c	Porcine epidemic diarrhea virus isolate JSS14, complete genome
MW143094.1	MW143094.1	G2c	Porcine epidemic diarrhea virus isolate JSS16, complete genome
MW145532.1	MW145532.1	G2c	Porcine epidemic diarrhea virus strain CH/SCDY-1/2020 spike protein (S) gene, complete cds
MW145534.1	MW145534.1	G2c	Porcine epidemic diarrhea virus strain CH/SCMS-2/2020 spike protein (S) gene, complete cds
MW145535.1	MW145535.1	G2c	Porcine epidemic diarrhea virus strain CH/SCNJ-1/2020 spike protein (S) gene, complete cds
MW398867.1	MW398867.1	G2c	Porcine epidemic diarrhea virus strain CH/SCNC-1/2020 spike protein gene, complete cds
MW413556.1	MW413556.1	G2c	Porcine epidemic diarrhea virus strain HB/HEBEU/2020, complete genome
MW452940.1	MW452940.1	G2c	Porcine epidemic diarrhea virus strain CH/SCDZ-1/2020 spike protein (S) gene, complete cds
MW478760.1	MW478760.1	G2c	Porcine epidemic diarrhea virus isolate GDsg01 spike protein (S) gene, complete cds
MW478761.1	MW478761.1	G2c	Porcine epidemic diarrhea virus isolate GDsg02 spike protein (S) gene, complete cds
MW478762.1	MW478762.1	G2c	Porcine epidemic diarrhea virus isolate GDsg03 spike protein (S) gene, complete cds
MW478763.1	MW478763.1	G2c	Porcine epidemic diarrhea virus isolate GDsg04 spike protein (S) gene, complete cds
MW478764.1	MW478764.1	G2c	Porcine epidemic diarrhea virus isolate GDsg05 spike protein (S) gene, complete cds
MW478765.1	MW478765.1	G2c	Porcine epidemic diarrhea virus isolate GDsg06 spike protein (S) gene, complete cds
MW478766.1	MW478766.1	G2c	Porcine epidemic diarrhea virus isolate GDsg07 spike protein (S) gene, complete cds
MW478767.1	MW478767.1	G2c	Porcine epidemic diarrhea virus isolate GDsg08 spike protein (S) gene, complete cds
MW478769.1	MW478769.1	G2c	Porcine epidemic diarrhea virus isolate GDsg10 spike protein (S) gene, complete cds
MW826593.1	MW826593.1	G2c	Porcine epidemic diarrhea virus isolate FY/2017 spike protein (S) gene, complete cds
MW826594.1	MW826594.1	G2c	Porcine epidemic diarrhea virus isolate HH/2017 spike protein (S) gene, complete cds
MW826596.1	MW826596.1	G2c	Porcine epidemic diarrhea virus isolate TQ/2017 spike protein (S) gene, complete cds
MW826598.1	MW826598.1	G2c	Porcine epidemic diarrhea virus isolate XT/2017 spike protein (S) gene, complete cds
MW826599.1	MW826599.1	G2c	Porcine epidemic diarrhea virus isolate ZJC/2017 spike protein (S) gene, complete cds
MW915419.1	MW915419.1	G2c	Porcine epidemic diarrhea virus isolate FH/2017 spike protein (S) gene, complete cds
MZ161001.1	MZ161001.1	G2c	Porcine epidemic diarrhea virus strain CH/GDHG/12/2020 spike protein (S) gene, complete cds
MZ161002.1	MZ161002.1	G2c	Porcine epidemic diarrhea virus strain CH/GDSG/12/2020 spike protein (S) gene, complete cds
MZ161003.1	MZ161003.1	G2c	Porcine epidemic diarrhea virus strain CH/SCYBZH/12/2020 spike protein (S) gene, complete cds
MZ161004.1	MZ161004.1	G2c	Porcine epidemic diarrhea virus strain CH/GXGG/12/2020 spike protein (S) gene, complete cds
MZ161005.1	MZ161005.1	G2c	Porcine epidemic diarrhea virus strain CH/JSHA/12/2020 spike protein (S) gene, complete cds
MZ161007.1	MZ161007.1	G2c	Porcine epidemic diarrhea virus strain CH/HBSY/12/2020 spike protein (S) gene, complete cds
MZ161008.1	MZ161008.1	G2c	Porcine epidemic diarrhea virus strain CH/GDMM/12/2020 spike protein (S) gene, complete cds
MZ161009.1	MZ161009.1	G2c	Porcine epidemic diarrhea virus strain CH/SCCD/12/2020 spike protein (S) gene, complete cds
MZ161010.1	MZ161010.1	G2c	Porcine epidemic diarrhea virus strain CH/JSXZGS/12/2020 spike protein (S) gene, complete cds
MZ161011.1	MZ161011.1	G2c	Porcine epidemic diarrhea virus strain CH/HNCD/12/2020 spike protein (S) gene, complete cds
MZ161012.1	MZ161012.1	G2c	Porcine epidemic diarrhea virus strain CH/SCMY/12/2020 spike protein (S) gene, complete cds
MZ161013.1	MZ161013.1	G2c	Porcine epidemic diarrhea virus strain CH/AHBB/12/2020 spike protein (S) gene, complete cds
MZ161015.1	MZ161015.1	G2c	Porcine epidemic diarrhea virus strain CH/SDNW/11/2020 spike protein (S) gene, complete cds
MZ161016.1	MZ161016.1	G2c	Porcine epidemic diarrhea virus strain CH/JXXG/11/2020 spike protein (S) gene, complete cds
MZ161017.1	MZ161017.1	G2c	Porcine epidemic diarrhea virus strain CH/SXXY/11/2020 spike protein (S) gene, complete cds
MZ161019.1	MZ161019.1	G2c	Porcine epidemic diarrhea virus strain CH/YNDL/11/2020 spike protein (S) gene, complete cds
MZ161020.1	MZ161020.1	G2c	Porcine epidemic diarrhea virus strain CH/SDNW-2/11/2020 spike protein (S) gene, complete cds
MZ161021.1	MZ161021.1	G2c	Porcine epidemic diarrhea virus strain CH/JXGZ/11/2020 spike protein (S) gene, complete cds
MZ161026.1	MZ161026.1	G2c	Porcine epidemic diarrhea virus strain CH/HBMZ/10/2020 spike protein (S) gene, complete cds
MZ161027.1	MZ161027.1	G2c	Porcine epidemic diarrhea virus strain CH/GXLZ/10/2020 spike protein (S) gene, complete cds
MZ161028.1	MZ161028.1	G2c	Porcine epidemic diarrhea virus strain CH/HBHG/10/2020 spike protein (S) gene, complete cds
MZ161031.1	MZ161031.1	G2c	Porcine epidemic diarrhea virus strain CH/HBTS/10/2020 spike protein (S) gene, complete cds
MZ161038.1	MZ161038.1	G2c	Porcine epidemic diarrhea virus strain CH/JXHY/09/2020 spike protein (S) gene, complete cds
MZ161039.1	MZ161039.1	G2c	Porcine epidemic diarrhea virus strain CH/LNFS/09/2020 spike protein (S) gene, complete cds
MZ161040.1	MZ161040.1	G2c	Porcine epidemic diarrhea virus strain CH/GXLA/07/2020 spike protein (S) gene, complete cds
MZ161042.1	MZ161042.1	G2c	Porcine epidemic diarrhea virus strain CH/SDZH/07/2020 spike protein (S) gene, complete cds
MZ161043.1	MZ161043.1	G2c	Porcine epidemic diarrhea virus strain CH/HBCZ/07/2020 spike protein (S) gene, complete cds
MZ161044.1	MZ161044.1	G2c	Porcine epidemic diarrhea virus strain CH/AHMJ/07/2020 spike protein (S) gene, complete cds
MZ161045.1	MZ161045.1	G2c	Porcine epidemic diarrhea virus strain CH/GDCY/06/2020 spike protein (S) gene, complete cds
MZ161048.1	MZ161048.1	G2c	Porcine epidemic diarrhea virus strain CH/LNPJ/05/2020 spike protein (S) gene, complete cds
MZ161049.1	MZ161049.1	G2c	Porcine epidemic diarrhea virus strain CH/SCPL/05/2020 spike protein (S) gene, complete cds
MZ161050.1	MZ161050.1	G2c	Porcine epidemic diarrhea virus strain CH/GXNN/04/2020 spike protein (S) gene, complete cds
MZ161051.1	MZ161051.1	G2c	Porcine epidemic diarrhea virus strain CH/GXLB/04/2020 spike protein (S) gene, complete cds
MZ161052.1	MZ161052.1	G2c	Porcine epidemic diarrhea virus strain CH/JXJJ/04/2020 spike protein (S) gene, complete cds
MZ161053.1	MZ161053.1	G2c	Porcine epidemic diarrhea virus strain CH/GDCY/04/2020 spike protein (S) gene, complete cds
MZ161054.1	MZ161054.1	G2c	Porcine epidemic diarrhea virus strain CH/FJDH/04/2020 spike protein (S) gene, complete cds
MZ161055.1	MZ161055.1	G2c	Porcine epidemic diarrhea virus strain CH/JXGZ/04/2020 spike protein (S) gene, complete cds
MZ161056.1	MZ161056.1	G2c	Porcine epidemic diarrhea virus strain CH/HNCC/03/2020 spike protein (S) gene, complete cds
MZ161057.1	MZ161057.1	G2c	Porcine epidemic diarrhea virus strain CH/HBZL/03/2020 spike protein (S) gene, complete cds
MZ161058.1	MZ161058.1	G2c	Porcine epidemic diarrhea virus strain CH/SCJS/03/2020 spike protein (S) gene, complete cds
MZ161061.1	MZ161061.1	G2c	Porcine epidemic diarrhea virus strain CH/HBZJC/11/2020 spike protein (S) gene, complete cds
MZ161062.1	MZ161062.1	G2c	Porcine epidemic diarrhea virus strain CH/AHXC/12/2020 spike protein (S) gene, complete cds
MZ161063.1	MZ161063.1	G2c	Porcine epidemic diarrhea virus strain CH/GZZY/12/2020 spike protein (S) gene, complete cds
MZ161064.1	MZ161064.1	G2c	Porcine epidemic diarrhea virus strain CH/JXPY/12/2020 spike protein (S) gene, complete cds
MZ161065.1	MZ161065.1	G2c	Porcine epidemic diarrhea virus strain CH/HNLX/12/2020 spike protein (S) gene, complete cds
MZ161066.1	MZ161066.1	G2c	Porcine epidemic diarrhea virus strain CH/HBXY/12/2020 spike protein (S) gene, complete cds
MZ161068.1	MZ161068.1	G2c	Porcine epidemic diarrhea virus strain CH/JSXZ/01/2021 spike protein (S) gene, complete cds
MZ161071.1	MZ161071.1	G2c	Porcine epidemic diarrhea virus strain CH/HBHA/01/2021 spike protein (S) gene, complete cds
MZ161072.1	MZ161072.1	G2c	Porcine epidemic diarrhea virus strain CH/JSLYG/02/2021 spike protein (S) gene, complete cds
MZ161073.1	MZ161073.1	G2c	Porcine epidemic diarrhea virus strain CH/HBSY/02/2021 spike protein (S) gene, complete cds
MZ161075.1	MZ161075.1	G2c	Porcine epidemic diarrhea virus strain CH/GDYJ/03/2021 spike protein (S) gene, complete cds
MZ161077.1	MZ161077.1	G2c	Porcine epidemic diarrhea virus strain CH/SDLY/12/2020 spike protein (S) gene, complete cds
MZ161079.1	MZ161079.1	G2c	Porcine epidemic diarrhea virus strain CH/SCDY/05/2020 spike protein (S) gene, complete cds
MZ161082.1	MZ161082.1	G2c	Porcine epidemic diarrhea virus strain CH/JSHY/09/2020 spike protein (S) gene, complete cds
MZ161083.1	MZ161083.1	G2c	Porcine epidemic diarrhea virus strain CH/HBTS/09/2020 spike protein (S) gene, complete cds
MZ161084.1	MZ161084.1	G2c	Porcine epidemic diarrhea virus strain CH/JSXZLD/10/2020 spike protein (S) gene, complete cds
MZ161085.1	MZ161085.1	G2c	Porcine epidemic diarrhea virus strain CH/SDLQ/09/2020 spike protein (S) gene, complete cds
MZ161086.1	MZ161086.1	G2c	Porcine epidemic diarrhea virus strain CH/GXLB/05/2020 spike protein (S) gene, complete cds
MZ161087.1	MZ161087.1	G2c	Porcine epidemic diarrhea virus strain CH/NMGTL/04/2020 spike protein (S) gene, complete cds
MZ161088.1	MZ161088.1	G2c	Porcine epidemic diarrhea virus strain CH/SCLZ/12/2020 spike protein (S) gene, complete cds
MZ161089.1	MZ161089.1	G2c	Porcine epidemic diarrhea virus strain CH/SDJN/07/2020 spike protein (S) gene, complete cds
MZ241108.1	MZ241108.1	G2c	Porcine epidemic diarrhea virus isolate SXSL, complete genome
MZ342899.1	MZ342899.1	G2c	Porcine epidemic diarrhea virus isolate PEDV HM, complete genome
MZ364310.1	MZ364310.1	G2c	Porcine epidemic diarrhea virus strain CH/GX/PEDV/1401/2016, complete genome
MZ364311.1	MZ364311.1	G2c	Porcine epidemic diarrhea virus strain CH/GX/PEDV/1902/2017, complete genome
MZ364312.1	MZ364312.1	G2c	Porcine epidemic diarrhea virus strain CH/GX/PEDV/1939/2018, complete genome
MZ364313.1	MZ364313.1	G2c	Porcine epidemic diarrhea virus strain CH/GX/PEDV/1984/2018, complete genome
MZ364315.1	MZ364315.1	G2c	Porcine epidemic diarrhea virus strain CH/GX/PEDV/2467/2019, complete genome
MZ364316.1	MZ364316.1	G2c	Porcine epidemic diarrhea virus strain CH/GX/PEDV/2473/2019, complete genome
MZ570133.1	MZ570133.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNKF-01/2020 spike protein (S) gene, complete cds
MZ570134.1	MZ570134.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNXX-01/2020 spike protein (S) gene, complete cds
MZ570135.1	MZ570135.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNXX-02/2020 spike protein (S) gene, complete cds
MZ570136.1	MZ570136.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNXY-01/2020 spike protein (S) gene, complete cds
MZ570137.1	MZ570137.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNLH-01/2020 spike protein (S) gene, complete cds
MZ570138.1	MZ570138.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNJZ-01/2020 spike protein (S) gene, complete cds
MZ570139.1	MZ570139.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNXC-01/2020 spike protein (S) gene, complete cds
MZ570140.1	MZ570140.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNLH-02/2020 spike protein (S) gene, complete cds
MZ570141.1	MZ570141.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNKF-02/2020 spike protein (S) gene, complete cds
MZ570142.1	MZ570142.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNXC-02/2020 spike protein (S) gene, complete cds
MZ570143.1	MZ570143.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNSMX-01/2020 spike protein (S) gene, complete cds
MZ570144.1	MZ570144.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNAY-01/2020 spike protein (S) gene, complete cds
MZ570145.1	MZ570145.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNKF-03/2020 spike protein (S) gene, complete cds
MZ570146.1	MZ570146.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNSQ-01/2020 spike protein (S) gene, complete cds
MZ570147.1	MZ570147.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNXC-03/2020 spike protein (S) gene, complete cds
MZ570148.1	MZ570148.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNXC-04/2020 spike protein (S) gene, complete cds
MZ570149.1	MZ570149.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNNY-01/2020 spike protein (S) gene, complete cds
MZ669834.1	MZ669834.1	G2c	Porcine epidemic diarrhea virus strain CH-GXNN-1-2018 spike protein gene, complete cds
MZ669835.1	MZ669835.1	G2c	Porcine epidemic diarrhea virus strain CH-GXNN-2-2018 spike protein gene, partial cds
MZ669836.1	MZ669836.1	G2c	Porcine epidemic diarrhea virus strain CH-GXNN-3-2018 spike protein gene, partial cds
MZ669837.1	MZ669837.1	G2c	Porcine epidemic diarrhea virus strain CH-GXNN-4-2018 spike protein gene, partial cds
MZ669838.1	MZ669838.1	G2c	Porcine epidemic diarrhea virus strain CH-GXNN-5-2018 spike protein gene, partial cds
MZ669839.1	MZ669839.1	G2c	Porcine epidemic diarrhea virus strain CH-GXNN-6-2018 spike protein gene, partial cds
MZ669840.1	MZ669840.1	G2c	Porcine epidemic diarrhea virus strain CH-GXNN-7-2018 spike protein gene, partial cds
MZ669841.1	MZ669841.1	G2c	Porcine epidemic diarrhea virus strain CH-GXLZ-1-2017 spike protein gene, partial cds
MZ669842.1	MZ669842.1	G2c	Porcine epidemic diarrhea virus strain CH-GXLZ-2-2018 spike protein gene, partial cds
MZ669843.1	MZ669843.1	G2c	Porcine epidemic diarrhea virus strain CH-GXLZ-3-2018 spike protein gene, partial cds
MZ669844.1	MZ669844.1	G2c	Porcine epidemic diarrhea virus strain CH-GXBH-1-2018 spike protein gene, partial cds
MZ669845.1	MZ669845.1	G2c	Porcine epidemic diarrhea virus strain CH-GXBH-2-2018 spike protein gene, partial cds
MZ740469.1	MZ740469.1	G2c	Porcine epidemic diarrhea virus strain CH-HNLH-03 spike protein (S) gene, complete cds
MZ740470.1	MZ740470.1	G2c	Porcine epidemic diarrhea virus strain CH-HNJY-01 spike protein (S) gene, complete cds
MZ740471.1	MZ740471.1	G2c	Porcine epidemic diarrhea virus strain CH-HNPDS-01 spike protein (S) gene, complete cds
MZ740472.1	MZ740472.1	G2c	Porcine epidemic diarrhea virus strain CH-HNNY-02 spike protein (S) gene, complete cds
MZ977202.1	MZ977202.1	G2c	Porcine epidemic diarrhea virus strain CH/2018, complete genome
OK584017.1	OK584017.1	G2c	Porcine epidemic diarrhea virus isolate HN2021, complete genome
OK642747.1	OK642747.1	G2c	Porcine epidemic diarrhea virus isolate XJ1904-34 spike (S) gene, complete cds
OL347994.1	OL347994.1	G2c	Porcine epidemic diarrhea virus isolate CMMZH2110, complete genome
OL348059.1	OL348059.1	G2c	Porcine epidemic diarrhea virus strain XJ1904-34, complete genome
OL361788.1	OL361788.1	G2c	Porcine epidemic diarrhea virus strain JSXC, complete genome
OL446966.1	OL446966.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus isolate CH/HNKF/2020, complete genome
OL446967.1	OL446967.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNPDS/2021, complete genome
OL762456.1	OL762456.1	G2c	Porcine epidemic diarrhea virus strain PEDV SD2020, complete genome
OL762457.1	OL762457.1	G2c	Porcine epidemic diarrhea virus strain PEDV HK2021, complete genome
OL762458.1	OL762458.1	G2c	Porcine epidemic diarrhea virus strain PEDV SDLY2020, complete genome
OL762459.1	OL762459.1	G2c	Porcine epidemic diarrhea virus strain PEDV SD2021, complete genome
OL762460.1	OL762460.1	G2c	Porcine epidemic diarrhea virus strain PEDV JX2020, complete genome
OL762461.1	OL762461.1	G2c	Porcine epidemic diarrhea virus strain PEDV TRS2021, complete genome
OL841533.1	OL841533.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus isolate CH/HB/BD01 spike-like (S) gene, complete sequence
